source	Destination	Price	total cost
Jacksonville, FL	Washington, DC	399	
Jacksonville, FL	Charlotte, NC	321	37709
Indianapolis, IN	Portland, OR	1687	
Indianapolis, IN	Seattle, WA	1663	
Indianapolis, IN	San Francisco, CA	1334	
Indianapolis, IN	San Jose, CA	1331	
Indianapolis, IN	El Paso, TX	1313	
Indianapolis, IN	Las Vegas, NV	1304	
Indianapolis, IN	Tucson, AZ	1287	
Indianapolis, IN	Fresno, CA	1285	
Indianapolis, IN	Phoenix, AZ	1269	
Indianapolis, IN	San Diego, CA	1246	
Indianapolis, IN	Los Angeles, CA	1236	
Indianapolis, IN	Albuquerque, NM	1161	
Indianapolis, IN	Denver, CO	1045	
Indianapolis, IN	San Antonio, TX	1005	
Indianapolis, IN	Jacksonville, FL	975	
Indianapolis, IN	Austin, TX	964	
Indianapolis, IN	Houston, TX	920	
Indianapolis, IN	Fort Worth, TX	876	
Indianapolis, IN	Dallas, TX	859	
Indianapolis, IN	Boston, MA	779	
Indianapolis, IN	Charlotte, NC	771	
Indianapolis, IN	Oklahoma City, OK	735	
Indianapolis, IN	Philadelphia, PA	498	
Indianapolis, IN	New York, NY	490	
Indianapolis, IN	Baltimore, MD	473	
Indianapolis, IN	Washington, DC	470	
Indianapolis, IN	Memphis, TN	402	
Indianapolis, IN	Nashville, TN	326	
Indianapolis, IN	Milwaukee, WI	304	
Indianapolis, IN	Detroit, MI	268	
Indianapolis, IN	Chicago, IL	220	
Indianapolis, IN	Columbus, OH	210	
Indianapolis, IN	Louisville, KY	127	28833
Houston, TX	Portland, OR	1348	
Houston, TX	Seattle, WA	1189	
Houston, TX	San Francisco, CA	897	
Houston, TX	San Jose, CA	885	
Houston, TX	Las Vegas, NV	864	
Houston, TX	Detroit, MI	849	
Houston, TX	Fresno, CA	848	
